keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'deluge rain',0.23262075073562866,0.7881943570166569,-0.1714459861584828,0.9457345562517556,54.0
'deluge',0.031803404475418864,0.8600519659803125,0.10425089467394452,0.8999041549525773,268.0
'flooding Gaza',-0.20253643713169417,0.38224051707111656,-0.05216528479915968,0.15278832584624608,2.0
'flooding area',-0.1423835910052297,0.916479306819054,-0.05272259054363337,0.8534963559735483,153.0
'flooding atmospheric river',0.09943089559540602,0.8508498539568777,0.03479466722748723,0.9943594777321102,68.0
'flooding brigade',0.2312914274739589,0.7057908875841145,0.343339047287035,0.8524743064808101,12.0
'flooding buildings',-0.15527574634708338,1.1633048738145462,0.0053133434568503534,1.0496992069304474,65.0
'flooding climate change',0.2640005041167755,0.7956666484595001,0.2313107200598676,0.9608627487471616,64.0
'flooding damage',-0.04219114502509515,0.8501646596661051,0.026492795341890273,1.0361927690062769,122.0
'flooding death',-0.22685165264505022,1.1521783056587895,0.04099095042337776,0.9939579462989646,92.0
'flooding disaster',-0.24284900559339065,1.0345089069054272,-0.12946754851498177,0.8712290984557497,93.0
'flooding disruption',0.02637205554403955,0.9818441667082737,0.21037138715964748,0.9776664795517894,67.0
'flooding donation',0.13794362620436537,0.7796721899538027,0.04120107722500094,0.8693636906330564,64.0
'flooding evacuation',-0.0779434085340265,1.0634911698559224,0.09950954778628254,0.9074635286363154,86.0
'flooding health',0.1219238231777951,0.8745547020728021,-0.07505665364317332,0.895987670752002,64.0
'flooding house',0.04175013921535035,0.9365633330622233,-0.16308032737820596,0.96782725322185,64.0
'flooding insurance',0.24653495932687167,0.7350293214601671,-0.15596676740953924,0.8700153983631735,64.0
'flooding landslide',-0.22369960470993958,0.7956105799275244,-0.15966044265688814,0.8327534988398331,65.0
'flooding military',0.1291828804235594,0.9631104365248585,0.04633720436295713,0.9215552647298118,67.0
'flooding mudslide',0.02684540317929447,0.8310704245759576,-0.0852508862269316,0.9528131010363521,64.0
'flooding prayer',0.4624153922252702,0.7501463169606859,0.5526000059684583,0.8335228575286175,3.0
'flooding precipitation',0.14627749217902494,0.8672540573479807,-0.013586167565947872,0.866598856183378,64.0
'flooding protection',0.0835628954781722,0.8216693301175968,-0.27514245356457145,0.9518786496280753,25.0
'flooding rain',-0.02213833746052204,0.8811795722565026,0.035154983039185704,0.8708138367763815,466.0
'flooding relief',0.0741086380921933,0.7257329106936734,-0.06779372673731396,0.9834292616311928,89.0
'flooding residents',0.004299129302520332,0.8562013917072586,0.05712012817796912,0.9008816928685861,152.0
'flooding solidarity',-0.5332039370395628,0.9664200653410784,-0.5154213934994083,0.6124901020638163,14.0
'flooding storm',0.03527001774904135,0.9412684148642422,0.18076897459456664,0.9885971856158616,232.0
'flooding victims',0.03959835527160946,1.0874940073266333,-0.14300049306755258,0.9543161390691061,64.0
'flooding weather',-0.02916118301644819,0.9079232903303112,0.18155783253876942,0.8794612506846313,127.0
'flooding',0.023689245180880118,0.9842077928810166,0.0374675485041334,1.0091136413177186,1737.0
'floods',-0.021651222814572085,0.9700899619992068,-0.018190700317136654,0.925282125063511,1545.0
'tidal surge',0.3144440668845796,0.8550510839406626,0.3173694653323989,0.9821975728366616,64.0
veryUnusualAndNeverUsedKeyword,-0.32494411453928407,0.9293526376241726,0.0289184965695294,1.086266481092774,52.0
